month,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1955-09-30,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Sunny
1955-10-31,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1955-11-30,BALTASOUND,60.759,-0.888,Mild Rain,Cool,Partially Overcast
1955-12-31,BALTASOUND,60.759,-0.888,Mild Rain,Cold,Partially Overcast
1955-01-31,WICK AIRPORT,58.454,-3.09,,Cold,Partially Overcast
1955-02-28,WICK AIRPORT,58.454,-3.09,,Cold,Sunny
1955-03-31,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1955-04-30,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1955-05-31,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1955-06-30,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1955-07-31,WICK AIRPORT,58.454,-3.09,,Mild,Sunny
1955-08-31,WICK AIRPORT,58.454,-3.09,,Mild,Sunny
1955-09-30,WICK AIRPORT,58.454,-3.09,,Cool,Sunny
1955-10-31,WICK AIRPORT,58.454,-3.09,,Cool,Partially Overcast
1955-11-30,WICK AIRPORT,58.454,-3.09,Mild Rain,Cool,Partially Overcast
1955-12-31,WICK AIRPORT,58.454,-3.09,,Cool,Partially Overcast
1955-01-31,KINLOCHEWE,57.613,-5.306,Mild Rain,Cold,
1955-02-28,KINLOCHEWE,57.613,-5.306,Mild Rain,Cold,
1955-03-31,KINLOCHEWE,57.613,-5.306,Mild Rain,Cool,
1955-04-30,KINLOCHEWE,57.613,-5.306,Mild Rain,Cool,
1955-05-31,KINLOCHEWE,57.613,-5.306,Mild Rain,Cool,
1955-06-30,KINLOCHEWE,57.613,-5.306,Mild Rain,Mild,
1955-07-31,KINLOCHEWE,57.613,-5.306,Dry,Mild,
1955-08-31,KINLOCHEWE,57.613,-5.306,Drizzle,Mild,
1955-09-30,KINLOCHEWE,57.613,-5.306,Heavy Rain,Mild,
1955-10-31,KINLOCHEWE,57.613,-5.306,Heavy Rain,Cool,
1955-11-30,KINLOCHEWE,57.613,-5.306,Mild Rain,Cool,
1955-12-31,KINLOCHEWE,57.613,-5.306,Heavy Rain,Cool,
1955-01-31,FORTROSE,57.574,-4.093,Dry,Cold,Partially Overcast
1955-02-28,FORTROSE,57.574,-4.093,Drizzle,Cold,Partially Overcast
1955-03-31,FORTROSE,57.574,-4.093,Dry,Cool,Sunny
1955-04-30,FORTROSE,57.574,-4.093,Dry,Cool,Sunny
1955-05-31,FORTROSE,57.574,-4.093,Drizzle,Cool,Sunny
1955-06-30,FORTROSE,57.574,-4.093,Dry,Mild,Sunny
1955-07-31,FORTROSE,57.574,-4.093,Dry,Mild,Sunny
1955-08-31,FORTROSE,57.574,-4.093,Dry,Mild,Sunny
1955-09-30,FORTROSE,57.574,-4.093,Drizzle,Mild,Sunny
1955-10-31,FORTROSE,57.574,-4.093,Mild Rain,Cool,Partially Overcast
