station_latitude,station_longitude,weather_classifier,temp_category,station_name,date
60.759,-0.888,Dry,Cold,BALTASOUND,1939-01-01
60.759,-0.888,Drizzle,Cold,BALTASOUND,1939-01-02
60.759,-0.888,Dry,Cold,BALTASOUND,1939-01-03
60.759,-0.888,Drizzle,Cold,BALTASOUND,1939-01-04
60.759,-0.888,Drizzle,Cold,BALTASOUND,1939-01-05
60.759,-0.888,Dry,Cold,BALTASOUND,1939-01-06
60.759,-0.888,Heavy Rain,Cold,BALTASOUND,1939-01-07
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-01-08
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-01-09
60.759,-0.888,Mild Rain,Cold,BALTASOUND,1939-01-10
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-01-11
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-01-12
60.759,-0.888,Mild Rain,Cold,BALTASOUND,1939-01-13
60.759,-0.888,Mild Rain,Cold,BALTASOUND,1939-01-14
60.759,-0.888,Drizzle,Cold,BALTASOUND,1939-01-15
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-01-16
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-01-17
60.759,-0.888,Dry,Cool,BALTASOUND,1939-01-18
60.759,-0.888,Dry,Cold,BALTASOUND,1939-01-19
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-01-20
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-01-21
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-01-22
60.759,-0.888,Dry,Cool,BALTASOUND,1939-01-23
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-01-24
60.759,-0.888,Drizzle,Cold,BALTASOUND,1939-01-25
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-01-26
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-01-27
60.759,-0.888,Drizzle,Cold,BALTASOUND,1939-01-28
60.759,-0.888,Dry,Cold,BALTASOUND,1939-01-29
60.759,-0.888,Dry,Cool,BALTASOUND,1939-01-30
60.759,-0.888,Dry,Cold,BALTASOUND,1939-01-31
60.759,-0.888,Dry,Cold,BALTASOUND,1939-02-01
60.759,-0.888,Dry,Cold,BALTASOUND,1939-02-02
60.759,-0.888,Dry,Cool,BALTASOUND,1939-02-03
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-02-04
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-02-05
60.759,-0.888,Dry,Cool,BALTASOUND,1939-02-06
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-02-07
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-02-08
60.759,-0.888,Dry,Cool,BALTASOUND,1939-02-09
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-02-10
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-02-11
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-02-12
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-02-13
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-02-14
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-02-15
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-02-16
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-02-17
60.759,-0.888,Mild Rain,Cold,BALTASOUND,1939-02-18
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-02-19
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-02-20
60.759,-0.888,Dry,Cool,BALTASOUND,1939-02-21
60.759,-0.888,Dry,Cool,BALTASOUND,1939-02-22
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-02-23
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-02-24
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-02-25
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-02-26
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-02-27
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-02-28
60.759,-0.888,Mild Rain,Freezing,BALTASOUND,1939-03-01
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-03-02
60.759,-0.888,Dry,Cool,BALTASOUND,1939-03-03
60.759,-0.888,Dry,Cool,BALTASOUND,1939-03-04
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-03-05
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-03-06
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-03-07
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-03-08
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-03-09
60.759,-0.888,Dry,Cool,BALTASOUND,1939-03-10
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-03-11
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-03-12
60.759,-0.888,Dry,Cool,BALTASOUND,1939-03-13
60.759,-0.888,Mild Rain,Cool,BALTASOUND,1939-03-14
60.759,-0.888,Dry,Cool,BALTASOUND,1939-03-15
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-03-16
60.759,-0.888,Dry,Cool,BALTASOUND,1939-03-17
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-03-18
60.759,-0.888,Dry,Cool,BALTASOUND,1939-03-19
60.759,-0.888,Drizzle,Cool,BALTASOUND,1939-03-20
60.759,-0.888,Heavy Rain,Cool,BALTASOUND,1939-03-21
