station_latitude,station_longitude,weather_classifier,temp_category,station_name
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Dry,Cold,ACHFARY
58.311,-4.916,Dry,Cold,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Drizzle,Cool,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Dry,Cold,ACHFARY
58.311,-4.916,Dry,Cold,ACHFARY
58.311,-4.916,Mild Rain,Cold,ACHFARY
58.311,-4.916,Drizzle,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cold,ACHFARY
58.311,-4.916,Mild Rain,Cold,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Snowy,Cool,ACHFARY
58.311,-4.916,Snowy,Cold,ACHFARY
58.311,-4.916,Mild Rain,Cold,ACHFARY
58.311,-4.916,Snowy,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Drizzle,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Dry,Mild,ACHFARY
58.311,-4.916,Dry,Mild,ACHFARY
58.311,-4.916,Dry,Mild,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Drizzle,Mild,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Dry,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Mild Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Drizzle,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
58.311,-4.916,Drizzle,Cool,ACHFARY
58.311,-4.916,Heavy Rain,Cool,ACHFARY
