date,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1900-01-01,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Sunny
1900-01-02,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Cold,Partially Overcast
1900-01-03,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Cool,Partially Overcast
1900-01-04,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Cool,Partially Overcast
1900-01-05,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast
1900-01-06,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast
1900-01-07,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Cold,Sunny
1900-01-08,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Sunny
1900-01-09,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Sunny
1900-01-10,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Sunny
1900-01-11,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast
1900-01-12,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast
1900-01-13,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast
1900-01-14,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast
1900-01-15,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast
1900-01-16,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast
1900-01-17,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast
1900-01-18,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Sunny
1900-01-19,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast
1900-01-20,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Partially Overcast
1900-01-21,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast
1900-01-22,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cool,Partially Overcast
1900-01-23,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast
1900-01-24,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast
1900-01-25,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cool,Sunny
1900-01-26,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cool,Partially Overcast
1900-01-27,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast
1900-01-28,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Freezing,Partially Overcast
1900-01-29,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast
1900-01-30,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast
1900-01-31,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast
1900-02-01,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast
1900-02-02,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast
1900-02-03,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Partially Overcast
1900-02-04,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Partially Overcast
1900-02-05,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Cold,Sunny
1900-02-06,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Sunny
1900-02-07,"MORPETH, COCKLE PARK",55.212,-1.685,Drizzle,Freezing,Sunny
1900-02-08,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Freezing,Sunny
1900-02-09,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Freezing,Partially Overcast
1900-02-10,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Freezing,Partially Overcast
1900-02-11,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Freezing,Partially Overcast
1900-02-12,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Freezing,Sunny
1900-02-13,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Freezing,Sunny
1900-02-14,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Cold,Partially Overcast
1900-02-15,"MORPETH, COCKLE PARK",55.212,-1.685,Dry,Freezing,Partially Overcast
1900-02-16,"MORPETH, COCKLE PARK",55.212,-1.685,Heavy Rain,Cold,Sunny
1900-02-17,"MORPETH, COCKLE PARK",55.212,-1.685,Mild Rain,Cold,Sunny
