src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year,file_location_temp,file_location_weather,file_location_precip
1,FOULA,foula,shetland,60.154,-2.074,22,1989,2003,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\shetland\00001_foula\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\shetland\00001_foula\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\shetland\00001_foula\qc-version-1
3,FAIR ISLE,fair-isle,shetland,59.526,-1.63,57,1974,1997,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\shetland\00003_fair-isle\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\shetland\00003_fair-isle\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\shetland\00003_fair-isle\qc-version-1
5,HAMNAVOE,hamnavoe,shetland,60.104,-1.333,21,1962,1972,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\shetland\00005_hamnavoe\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\shetland\00005_hamnavoe\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\shetland\00005_hamnavoe\qc-version-1
9,LERWICK,lerwick,shetland,60.139,-1.185,82,1976,1997,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\shetland\00009_lerwick\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\shetland\00009_lerwick\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\shetland\00009_lerwick\qc-version-1
10,SELLA NESS,sella-ness,shetland,60.447,-1.278,7,1994,1997,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\shetland\00010_sella-ness\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\shetland\00010_sella-ness\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\shetland\00010_sella-ness\qc-version-1
12,BALTASOUND NO 2,baltasound-no-2,shetland,60.748,-0.856,15,1992,2002,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\shetland\00012_baltasound-no-2\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\shetland\00012_baltasound-no-2\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\shetland\00012_baltasound-no-2\qc-version-1
13,BALTASOUND,baltasound,shetland,60.759,-0.888,24,1914,1995,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\shetland\00013_baltasound\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\shetland\00013_baltasound\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\shetland\00013_baltasound\qc-version-1
17,SULE SKERRY,sule-skerry,orkney,59.082,-4.405,12,1961,1974,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\orkney\00017_sule-skerry\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\orkney\00017_sule-skerry\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\orkney\00017_sule-skerry\qc-version-1
19,RACKWICK,rackwick,orkney,58.873,-3.387,18,1987,2008,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\orkney\00019_rackwick\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\orkney\00019_rackwick\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\orkney\00019_rackwick\qc-version-1
20,STENNESS,stenness,orkney,58.982,-3.223,23,1961,1973,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\orkney\00020_stenness\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\orkney\00020_stenness\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\orkney\00020_stenness\qc-version-1
